taxon_no,Order,Family,taxon_name,ln_mass_g,mass_source,m1_length_mm,m1_width_mm,m1_source,eq_type,mass_eq,eq_source,ln_mass_g_estimate,n_occs,firstapp_max_ma,firstapp_min_ma,lastapp_max_ma,lastapp_min_ma,early_interval,late_interval,life_habit,life_habit_basis,diet,diet_basis
212372,,,Chunnelodon alopekodes,,,0.72,0.36,New dryolestoid mammals from the basal Cretaceous Purbeck Limestone Group of southern England,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,-0.65673376,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
241959,,,Peramus dubius,,,1.01,0.53,Micro?computed tomography reveals a diversity of Peramuran mammals from the Purbeck Group (Berriasian) of England,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,0.668256651,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
81051,,,Uchkudukodon nessovi,,,1.21,0.84,Late Cretaceous asioryctitherian eutherian mammals from Uzbekistan and phylogenetic analysis of Asioryctitheria,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,1.839719759,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
206735,,,Peramus tenuirostris,,,1.30,0.60,Micro?computed tomography reveals a diversity of Peramuran mammals from the Purbeck Group (Berriasian) of England,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,1.356061097,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
81045,,,Daulestes kulbeckensis,,,1.30,0.91,Late Cretaceous asioryctitherian eutherian mammals from Uzbekistan and phylogenetic analysis of Asioryctitheria,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,2.1170339,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
177400,,,Arcantiodelphys marchandi,,,1.30,1.15,The oldest modern therian mammal from Europe and its bearing on stem marsupial paleobiogeography,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,2.54468458,1,99.6,93.5,99.6,93.5,Cenomanian,Turonian,,Metatheria,omnivore,Metatheria
197847,,,Acristatherium yanensis,,,1.30,,"New basal eutherian mammal from the Early Cretaceous Jehol biota, Liaoning, China","Carnivores, m1_length",ln(m) = 1.681 + 2.97 * ln(m1_length),Skeletal and dental predictors of body mass in predators,2.44448001,1,125.45,122.46,125.45,122.46,Barremian,Aptian,scansorial,Eutheria,insectivore,Theria
81048,,,Daulestes inobservabilis,,,1.34,0.94,Late Cretaceous asioryctitherian eutherian mammals from Uzbekistan and phylogenetic analysis of Asioryctitheria,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,2.231661022,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
204159,,,Arguimus khosbajari,,,1.40,0.65,Revision of a pretribosphenic mammal Arguimus from the Early Cretaceous of Mongolia,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,1.637694389,1,125,100.5,125,100.5,Aptian,Albian,,Mammalia,insectivore,Mammaliaformes
216467,,,Sinbadelphys schmidti,,,1.40,0.75,"Chapter 5: Marsupial Mammals from the Albian–Cenomanian (Early–Late Cretaceous) Boundary, Utah","Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,1.89913963,7,113,100.5,100.5,89.8,Albian,Turonian,,Metatheria,omnivore,Metatheria
100743,,,Bishops whitmorei,1.91,"A Third, Remarkably Small, Tribosphenic Mammal from the Mesozoic of Australia",1.40,1.20,"A Third, Remarkably Small, Tribosphenic Mammal from the Mesozoic of Australia","Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,2.757836261,1,122.46,112.03,122.46,112.03,Aptian,Albian,,Mammalia,insectivore,Mammaliaformes
185139,,,Prokennalestes minor,,,1.43,0.89,The stem placental mammal Prokennalestes from the Early Cretaceous of Mongolia,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,2.250563927,1,125,100.5,125,100.5,Aptian,Albian,scansorial,Eutheria,insectivore,Theria
48803,,,Montanalestes keeblerorum,,,1.48,0.88,Tribosphenic mammals from the Lower Cretaceous Cloverly Formation of Montana and Wyoming,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,2.292709325,1,113,100.5,113,100.5,Albian,,scansorial,Eutheria,insectivore,Theria
260766,,,Paranyctoides quadrans,,,1.50,1.80,New Material and Reinterpretation of the Late Cretaceous Eutherian Mammal Paranyctoides from Uzbekistan,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,3.624670989,1,93.5,89.3,93.5,86.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
106453,,,Ausktribosphenos nyktos,3.04,"A Third, Remarkably Small, Tribosphenic Mammal from the Mesozoic of Australia",1.60,1.70,A tribosphenic mammal from the Mesozoic of Australia,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,3.638154445,1,122.46,112.03,122.46,112.03,Aptian,Albian,,Mammalia,insectivore,Mammaliaformes
57349,,,Kennalestes gobiensis,3.66,"Endocranial and Inner Ear Morphology of Vintana Sertichi (Mammalia, Gondwanatheria) from the Late Cretaceous of Madagascar",1.65,1.05,"Preliminary data on the Upper Cretaceous eutherian mammals from Bayn Dzak, Gobi desert","Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,2.814056081,2,83.6,72.1,83.5,70.6,Campanian,Maastrichtian,ground dwelling,Kennalestes,insectivore,Kennalestes
81053,,,Bulaklestes kezbe,,,1.67,1.10,Late Cretaceous asioryctitherian eutherian mammals from Uzbekistan and phylogenetic analysis of Asioryctitheria,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,2.921060464,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
264072,,,Sasayamamylos kawaii,,,1.70,1.20,"A new Early Cretaceous eutherian mammal from the Sasayama Group, Hyogo, Japan","Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,3.112559299,1,112.03,109,112.03,109,Albian,,scansorial,Eutheria,insectivore,Theria
137755,,,Prokennalestes trofimovi,,,1.73,1.19,The stem placental mammal Prokennalestes from the Early Cretaceous of Mongolia,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,3.129230505,1,125,100.5,125,100.5,Aptian,Albian,scansorial,Eutheria,insectivore,Theria
50932,,,Protalphadon lulli,,,1.74,0.98,"Late Cretaceous mammals from Cedar Canyon, southwestern Utah. Late Cretaceous Vertebrates from the Western Interior","Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,2.785037756,11,83.5,70.6,70.6,66,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
371031,,,Hovurlestes noyon,,,1.75,1.20,A new stem placental mammal from the Early Cretaceous of Mongolia,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,3.165519529,1,125,100.5,125,100.5,Aptian,Albian,scansorial,Eutheria,insectivore,Theria
197366,,,Endotherium niinomii,,,2.00,,"Reappraisal of Endotherium niinomii Shikama, 1947, a eutherian mammal from the Lower Cretaceous Fuxin Formation, Fuxin-Jinzhou Basin, Liaoning, China","Carnivores, m1_length",ln(m) = 1.681 + 2.97 * ln(m1_length),Skeletal and dental predictors of body mass in predators,3.698058295,1,125,100.5,125,100.5,Aptian,Albian,scansorial,Eutheria,insectivore,Theria
140937,,,Trapalcotherium matuastensis,,,2.48,2.07,"Mammals from the Allen Formation, Late Cretaceous, Argentina","Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,4.798619695,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
346645,,,Dakotadens pertritus,,,2.54,1.22,"New tribosphenic mammals from the Mussentuchit Local Fauna (Cedar Mountain Formation, Cenomanian), Utah, USA","Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,3.876364295,6,105.3,93.5,105.3,93.5,Albian,Turonian,,Metatheria,omnivore,Metatheria
213248,,,Eoungulatum kudukensis,,,2.73,2.18,"Phylogenetic analysis, taxonomic revision, and dental ontogeny of the Cretaceous Zhelestidae (Mammalia: Eutheria)","Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,5.06868559,4,93.5,89.3,93.5,86.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
