Ref_ID	Full Reference
Ref_1	"Handbook of the Birds of the World vol. 1.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona"
Ref_2	"Handbook of the Birds of the World vol.2.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona"
Ref_3	"Handbook of the Birds of the World vol.3.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona"
Ref_4	"Handbook of the Birds of the World vol.4.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona"
Ref_5	"Handbook of the Birds of the World vol.5.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona"
Ref_6	"Handbook of the Birds of the World vol.6.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona"
Ref_7	"Handbook of the Birds of the World vol.7.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona"
Ref_8	"Handbook of the Birds of the World vol.8.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona"
Ref_9	"Handbook of the Birds of the World vol.9.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona"
Ref_10	"Handbook of the Birds of the World vol.10.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona"
Ref_11	"Handbook of the Birds of the World vol.11.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona"
Ref_12	"Handbook of the Birds of the World vol.12.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona"
Ref_13	"Handbook of the Birds of the World vol.13.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona"
Ref_14	"Handbook of the Birds of the World vol.14.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona"
Ref_15	"Handbook of the Birds of the World vol.15.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona"
Ref_16	"Tanagers, Cardinals, and Finches of the Unites States and Canada: a Photographic Guide. David Beadle and J.D. Rising. Princeton University Press"
Ref_17	"Life Histories of North American Cardinals, Grosbeaks, Buntings, Towhees, Finches, Sparrows, and Allies. 1968. Cleveland Bent. http://birdsbybent.com/index.html"
Ref_18	"Birds of Asia Volume 2: Attributes and Status. 2005. PC Rasmussen and JC Anderton. National Museum of Natural History, Smithsonian Inst & Lynx Edicion. Washington DC & Barcelona."
Ref_19	Birds of Venezuela 2nd Ed. By SL Hilty.  2003.  Princeton University Press.
Ref_20	"Handbook of the Birds of Europe, Middle East, and North Africa. Volume IX (Buntings). By Camp and Perrins. 1994. Oxford University Press."
Ref_21	The Tanagers. 1999. By Morton Isler. Smithsonian Press.
Ref_22	"Birds of Northern South America: An identification guide. Vol 1. By R. Restall, C Rodner, and M Lentina. 2007. Yale Univ Press USA."
Ref_23	New World Blackbirds. 1999. Alvaro Jaramillo and Peter Burke. Princeton University Press
Ref_24	"Illustrated Handbook of Birds of Patagonia.2005. By CJ Kovacs, O Kovacs, Z Kovacs, and CM Kovacs. Museo Ornitologico. Patagonia, El Bolson, Rio Negro, Argentina. "
Ref_25	"Guide to the Birds of India. 1999. by Gimmel, Inskipp and Inskipp. Princeton University Press. "
