Ref_ID	Full Reference			
Ref_1	"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland"			
Ref_2	Genus Average			
Ref_3	Family Average			
Ref_4	" Afrotheria Specialist Group (Tenrec Section), Jenkins, P. & Goodman, S. (2008). Hemicentetes nigriceps. In: IUCN 2008. IUCN Red List of Threatened Species. Downloaded on 29 December 2008"			
Ref_5	" Kirkpatrick, R. C., Long, Y. C., Zhong, T., and Xiao, L. (1998). ""Social organization and range use in the Yunnan snub-nosed monkey Rhinopithecus bieti"". International Journal of Primatology 19: 13–51"			
Ref_6	" Macdonald, D.W. (2006) The Encyclopedia of Mammals. Oxford University Press, Oxford."			
Ref_7	" Martin, J. K., Handasyde K.A. et al. (2004). ""Aspects of the ecology of the bobuck T. caninus in the Strathbogie Ranges, Victoria"". in R. L. Goldingay and S. M. Jackson.The biology of Australian possums and gliders. Sydney: Chipping Norton, Surrey Beatty"			
Ref_8	" Rowe, N. (1996). The Pictorial Guide to the Living Primates. Pogonias Press, Rhode Island. ISBN 0-9648825-0-7"			
Ref_9	"Albignac, R. 1972. The Carnivora of Madagascar. Pp. 667–682 in Battistini, R. & Richard-Vindard, G. (eds.). Biogeography and Ecology in Madagascar. The Hague: W. Junk B.B., Publishers."			
Ref_10	Alfred JRB. 1992. The hoolock gibbon: Hylobates hoolock. Prim Rep 34:65-9			
Ref_11	"Andrainarivo, C., Andriaholinirina, V.N., Feistner, A., Felix, T., Ganzhorn, J., Garbutt, N., Golden, C., Konstant, B., Louis Jr., E., Meyers, D., Mittermeier, R.A., Perieras, A., Princee, F., Rabarivola, J.C., Rakotosamimanana, B., Rasamimanana, H., Rats"			
Ref_12	"Ankel-Simons, Friderun (2007). Primate Anatomy : An Introduction (3rd ed.). Durham, North Carolina: Department of Biological Anthropology and Anatomy, Duke University. pp. 55–56. ISBN 0-12-372576-3."			
Ref_13	"Bearder, S. K., L. Ambrose, C. Harcourt, P. Honess, A. Perkin, S. Pullen, E. Pimley and N. Svoboda. 2003. Species-typical patterns of infant care, sleeping site use and social cohesion among nocturnal primates in Africa. Folia Primatol. 74: 337–354."			
Ref_14	"Bearder, S.K. 1987. Lorises, Bushbabies, and Tarsiers: Diverse Societies in Solitary Foragers. In Primate Societies. eds. B.B. Smuts, D.L. Cheney, R.M. Seyfart, R.W. Wrangham, and T.T. Struhsaker. University of Chicago Press."			
Ref_15	"Berkman, P. 2001. Science into Policy : Global Lessons from Antarctica. Burlington, MA: Academic Press!"			
Ref_16	"Berta, A., J. Sumich, K. Kovacs. 2006. Marine Mammals: Evolutionary Biology. Burlington, MA: American Press.! Burns, J. 2008. Encyclopedia of Marine Mammals. Pp. 533-541 in W Perrin, B Wursig, J Thewissen, eds. Harbor Seal and Spotted Seal, Vol. 1, 2 Edit"			
Ref_17	"Best, R., V. da Silva. 1989. Amazon River Dolphin, Boto, Inia geoffrensis (de Blainville, 1817). Pp. 1-23 in S Ridgway, R Harrison, eds. Handbook of Marine Mammals: River Dolphins and the Larger Toothed Whales. London: Academic Press.! Best, R., V. da Sil"			
Ref_18	"Bonner, W. 1990. The Natural History of Seals. New York, NY: Facts On File, Inc.! Le Boeuf, B., D. Crocker, D. Costa, S. Blackwell, P. Webb. 2000. Foraging ecology of northern elephant seals. Ecological Monographs, 70 (3): 353-382."			
Ref_19	"Boonratana, R. and X.C. Le. 1998. Preliminary observations on the ecology and behaviour of the tonkin snub-nosed monkey in Northern Vietnam. The Natural History of the Doucs and Snub-nosed monkeys. Singapore. 207-215."			
Ref_20	"Boyd, I., M. Stanfield. Oct. 1998. Circumstantial evidence for the presence of monk seals in the West Indies. Oryx, 32: 310-316.! Macdonald, D. 1984. The Encyclopedia of Mammals. Barns & Noble Books, Spain: Andromeda Oxford Limited."			
Ref_21	"Brito, D. and da Fonseca, G. A. B. 2006. Evaluation of minimum viable population size and conservation status of the long-furred woolly mouse opossum Micoureus paraguayanus: an endemic."			
Ref_22	"Caldecott, J.O., Blouch, R.A. and Macdonald, A.A. (1993) The bearded pig (Sus barbatus). In: Oliver, W.L.R. (Ed) Pigs, peccaries, and hippos: status survey and conservation action plan. International Union for the Conservation of Nature, Gland, Switzerlan"			
Ref_23	"Catzeflis, F. & Silva, C. 2008. Marmosops pinheiroi. In: IUCN 2010. IUCN Red List of Threatened Species. Version 2010.1. <www.iucnredlist.org>. Downloaded on 12 May 2010."			
Ref_24	"Chandrasekar-Rao A. 1994. Distribution and ecology of Hong Kong small mammals, with special reference to seasonality. M.Phil. Thesis, University of Hong Kong, Hong Kong"			
Ref_25	"Crockett CM, Wilson WL. 1980. The ecological separation of Macaca nemestrina and M. fascicularis in Sumatra. In: Lindburg DG, editor. The macaques: studies in ecology, behavior and evolution. New York: Van Nostrand Reinhold. p 148-81."			
Ref_26	"Cummings, W. 1985. Right whales. New York: Academic Press.! Reeves, R., R. Brownell. 1982. Baleen Whales. Pp. 415-445 in J Chapman, G Feldhamer, eds. Wild Mammals of North America. Baltimore and London: Johns Hopkins University Press.! Slijper, E. 1979. W"			
Ref_27	"Defler, T.R., Rodriguez, J.V. and Hernández-Camacho, J.I. (2003) Conservation priorities for Colombian primates. Primate Conservation, 19: 10-18."			
Ref_28	"Dehn, L., G. Sheffield, E. Follmann, L. Duffy, D. Thomas, T. O'Hara. 2007. Feeding ecology of phocid seals and some walrus in the Alaskan and Canadian arctic as determined by stomach contents and stable isotope analysis. Polar Biology, 30/2: 167-181.! Low"			
Ref_29	"Duckworth, J.W., Samba Kumar, N., Chiranjibi Prasad Pokheral, Sagar Baral, H. & Timmins, R.J. 2008. Rucervus duvaucelii. In: IUCN 2010. IUCN Red List of Threatened Species. Version 2010.1. <www.iucnredlist.org>. Downloaded on 31 May 2010."			
Ref_30	"Duckworth, J.W., Steinmetz, R. & MacKinnon, J. 2008. Capricornis sumatraensis. In: IUCN 2010. IUCN Red List of Threatened Species. Version 2010.1. <www.iucnredlist.org>. Downloaded on31 May 2010."			
