CURRENT_TAXONOMIC_NAME,Ecoregion,meanLat,Realm,TrophicGrp,TrophicGrp,Lmax,meanN
Boops boops,Adriatic Sea,43.54616919,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,36,14.2
Chrysophrys auratus,Adriatic Sea,43.54616919,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,130,5
Diplodus annularis,Adriatic Sea,43.54616919,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,35,2.888888889
Diplodus sargus,Adriatic Sea,43.54616919,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,44,4.153846154
Diplodus vulgaris,Adriatic Sea,43.54616919,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,45,4.5
Gobius niger,Adriatic Sea,43.54616919,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,18,1
Mullus surmuletus,Adriatic Sea,43.54616919,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,40,2
Oblada melanura,Adriatic Sea,43.54616919,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,34,5.666666667
Pagrus pagrus,Adriatic Sea,43.54616919,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,91,2.5
Serranus scriba,Adriatic Sea,43.54616919,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,36,3.428571429
Symphodus doderleini,Adriatic Sea,43.54616919,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,10,1
Symphodus ocellatus,Adriatic Sea,43.54616919,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,12,2
Symphodus roissali,Adriatic Sea,43.54616919,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,17,2
Symphodus tinca,Adriatic Sea,43.54616919,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,44,2.2
Amblyrhynchotes honckenii,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,30,1.5
Caffrogobius nudiceps,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,14,2.166666667
Chaetodon marleyi,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,20,4.153846154
Cheilodactylus fasciatus,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,30,3
Cheilodactylus pixi,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,18,1.75
Chirodactylus brachydactylus,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,40,5.078431373
Chrysoblephus laticeps,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,50,2.303278689
Clinus superciliosus,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,30,1.8
Clinus venustris,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,12,1.423076923
Coccotropsis gymnoderma,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,4,1
Cremnochorites capensis,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,8,1
Dichistius capensis,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,80,1.25
Diplodus capensis,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,45,2.545454545
Diplodus cervinus,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,44,2.8125
Haploblepharus edwardsii,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,59,6
Lithognathus lithognathus,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,200,1
Lithognathus mormyrus,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,55,4
Myliobatis aquila,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,183,1
Oplegnathus conwayi,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,90,1.473684211
Parascorpis typus,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,60,1
Poroderma africanum,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,101,1
Pterogymnus laniarius,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,45,18.25
Rhinobatos annulatus,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,140,2
Sparodon durbanensis,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,120,1
Spondyliosoma emarginatum,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,45,5.952380952
Syngnathus acus,Agulhas Bank,-34.13703086,Temperate Southern Africa,Benthic invertivore,Benthic carnivore,50,2
Balistes capriscus,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,60,1.5
Boops boops,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,36,836.5060976
Canthidermis sufflamen,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,65,1
Centrolabrus exoletus,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,18,3.538461538
Coris julis,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,30,9.367666232
Ctenolabrus rupestris,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,18,1.142857143
Diplodus annularis,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,35,2.397849462
Diplodus cervinus,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,44,1.454545455
Diplodus sargus,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,44,4.486111111
Diplodus vulgaris,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,45,4.450317125
Gobius cruentatus,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,18,1.157894737
Gobius niger,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,18,1
Gymnothorax unicolor,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,100,1
Labrus bergylta,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,65.9,1.333333333
Labrus merula,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,45,1
Labrus mixtus,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,40,1
Labrus viridis,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,47,1.444444444
Lepadogaster candolii,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,,1
Lepadogaster lepadogaster,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,6.5,2
Lithognathus mormyrus,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,55,4
Mullus surmuletus,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,40,3.062937063
Muraena augusti,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,120,1
Muraena helena,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,150,1.076923077
Oblada melanura,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,34,29.45833333
Pagellus acarne,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,36,2110.4
Pagellus erythrinus,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,60,3
Pagrus auriga,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,80,2.166666667
Pagrus pagrus,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,91,4
Parapristipoma octolineatum,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,50,1.75
Pomadasys incisus,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,50,1.4
Serranus cabrilla,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,40,2.006756757
Serranus scriba,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,36,1.975308642
Spicara maena,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,25,29.17647059
Spondyliosoma cantharus,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,60,1.9
Symphodus doderleini,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,10,2.318181818
Symphodus mediterraneus,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,18,2.214814815
Symphodus melanocercus,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,14,1
Symphodus ocellatus,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,12,5.10625
Symphodus roissali,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,17,2.417808219
Symphodus rostratus,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,13,1.192307692
Symphodus tinca,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,44,3.273480663
Trachinotus ovatus,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,70,1.5
Tripterygion delaisi,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,8.9,2.733333333
Tripterygion melanurus,Alboran Sea,36.50618934,Temperate Northern Atlantic,Benthic invertivore,Benthic carnivore,5.3,3.633333333
Harpagifer antarcticus,Antarctic Peninsula,-67.5779897,Southern Ocean,Benthic invertivore,Benthic carnivore,9.5,1
Notothenia coriiceps,Antarctic Peninsula,-67.5779897,Southern Ocean,Benthic invertivore,Benthic carnivore,62,1
Trematomus hansoni,Antarctic Peninsula,-67.5779897,Southern Ocean,Benthic invertivore,Benthic carnivore,41,1
Gnathanodon speciosus,Arabian (Persian) Gulf,25.37186122,Western Indo-Pacific,Benthic invertivore,Benthic carnivore,120,1
Gymnothorax griseus,Arabian (Persian) Gulf,25.37186122,Western Indo-Pacific,Benthic invertivore,Benthic carnivore,65,1
Halichoeres melanurus,Arabian (Persian) Gulf,25.37186122,Western Indo-Pacific,Benthic invertivore,Benthic carnivore,12,1
Ostracion cyanurus,Arabian (Persian) Gulf,25.37186122,Western Indo-Pacific,Benthic invertivore,Benthic carnivore,15,1
Scolopsis frenatus,Arabian (Persian) Gulf,25.37186122,Western Indo-Pacific,Benthic invertivore,Benthic carnivore,26,1
Scolopsis ghanam,Arabian (Persian) Gulf,25.37186122,Western Indo-Pacific,Benthic invertivore,Benthic carnivore,30,2
Thalassoma lunare,Arabian (Persian) Gulf,25.37186122,Western Indo-Pacific,Benthic invertivore,Benthic carnivore,25,7.625
Calliclinus geniguttatus,Araucanian,-33.46233882,Temperate South America,Benthic invertivore,Benthic carnivore,12.2,1.4
Helcogrammoides cunninghami,Araucanian,-33.46233882,Temperate South America,Benthic invertivore,Benthic carnivore,5,18.94666667
Pinguipes chilensis,Araucanian,-33.46233882,Temperate South America,Benthic invertivore,Benthic carnivore,50,1.887096774
Prolatilus jugularis,Araucanian,-33.46233882,Temperate South America,Benthic invertivore,Benthic carnivore,40,2.666666667
Abalistes stellatus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,60,1.5
Amblyeleotris gymnocephala,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,14,2
Amblyeleotris periophthalma,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,11,1
Amblyeleotris wheeleri,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,10,1
Anampses lennardi,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,28,1.229166667
Anoplocapros lenticularis,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,33,1
Apogon doederleini,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,14,12.27777778
Arothron stellatus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,120,1
Balistapus undulatus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,30,1
Balistoides conspicillum,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,50,1
Bodianus diana,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,20,1.8
Bodianus dictynna,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,25,1
Bodianus mesothorax,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,25,1.181818182
Bryaninops amplus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,4.6,8.166666667
Chaetodon adiergastos,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Corallivore,Benthic carnivore,20,2.555555556
Chaetodon aureofasciatus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Corallivore,Benthic carnivore,12.5,3.725158562
Chaetodon auriga,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Corallivore,Benthic carnivore,23,1.666666667
Chaetodon baronessa,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Corallivore,Benthic carnivore,16,2.372093023
Chaetodon citrinellus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Corallivore,Benthic carnivore,13,16
Chaetodon ephippium,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Corallivore,Benthic carnivore,30,2
Chaetodon lineolatus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Corallivore,Benthic carnivore,30,2.5
Chaetodon lunula,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Corallivore,Benthic carnivore,20,2
Chaetodon lunulatus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,14,2
Chaetodon rafflesii,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Corallivore,Benthic carnivore,18,1.666666667
Chaetodon speculum,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Corallivore,Benthic carnivore,18,2
Chaetodon trifascialis,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Corallivore,Benthic carnivore,18,2.611111111
Chaetodon vagabundus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Corallivore,Benthic carnivore,23,2
Chaetodontoplus duboulayi,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,28,1.763636364
Cheilinus chlorourus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,45,1.28125
Cheilinus fasciatus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,40,1.166666667
Cheilinus trilobatus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,45,1.527027027
Cheiloprion labiatus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Corallivore,Benthic carnivore,6,2.272727273
Chelmon marginalis,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Corallivore,Benthic carnivore,18,2.047619048
Choerodon cephalotes,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,38,1.666666667
Choerodon cyanodus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,70,2.425
Choerodon monostigma,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,46.91818182,1
Choerodon schoenleinii,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,100,2
Choerodon vitta,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,20,2.289473684
Cirrhilabrus temminckii,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,9.9,2.2
Coradion altivelis,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,18,1.4
Coradion chrysozonus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,15,2
Coris batuensis,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,17,1.5
Coris pictoides,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,15,5.588235294
Cryptocentrus fasciatus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,14,1.727272727
Cryptocentrus strigilliceps,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,10,1.541666667
Ctenogobiops mitodes,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,7.6,1
Ctenogobiops pomastictus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,8,3.38
