Group/common name,Class,Subclass,Superorder,Order,Family,Genus,Species,"Lmax (Maximum length, cm)",Troph,MainFood,FeedingType,Fresh,Brack,Saltwater,DepthRangeShallow,DepthRangeDeep
,,,,,,,,,,,,,,,,
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,baerii baerii,200.00,3.22,zoobenthos,,TRUE,TRUE,FALSE,1,
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,baerii baicalensis,120.00,3.24,,hunting macrofauna (predator),TRUE,FALSE,FALSE,,
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,brevirostrum,143.00,3.25,,,TRUE,TRUE,TRUE,,
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,dabryanus,250.00,3.28,,,TRUE,FALSE,FALSE,,
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Huso,dauricus,560.00,4.15,,,TRUE,TRUE,FALSE,0,50
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,fulvescens,274.00,3.28,zoobenthos,hunting macrofauna (predator),TRUE,TRUE,FALSE,,
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,gueldenstaedtii,235.00,3.11,zoobenthos,hunting macrofauna (predator),TRUE,TRUE,TRUE,1,
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Huso,huso,500.00,4.06,nekton,hunting macrofauna (predator),TRUE,TRUE,TRUE,70,180
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Pseudoscaphirhynchus,kaufmanni,75.00,3.11,,,TRUE,TRUE,FALSE,,
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,medirostris,250.00,3.25,zoobenthos,hunting macrofauna (predator),TRUE,TRUE,TRUE,0,80
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,naccarii,200.00,3.35,zoobenthos,hunting macrofauna (predator),TRUE,TRUE,TRUE,10,40
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,nudiventris,200.00,3.33,zoobenthos,hunting macrofauna (predator),TRUE,TRUE,TRUE,30,60
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,oxyrinchus desotoi,255.12,3.27,,hunting macrofauna (predator),TRUE,TRUE,TRUE,,
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,oxyrinchus oxyrinchus,430.00,3.38,,,TRUE,TRUE,TRUE,,46
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Scaphirhynchus,platorynchus,100.00,3.10,zoobenthos,hunting macrofauna (predator),TRUE,FALSE,FALSE,,
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,ruthenus,125.00,3.60,zoobenthos,variable,TRUE,TRUE,FALSE,1,
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,schrenckii,300.00,3.70,,,TRUE,TRUE,FALSE,,
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,sinensis,130.00,3.24,,,TRUE,TRUE,TRUE,,
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,stellatus,220.00,3.10,zoobenthos,hunting macrofauna (predator),TRUE,TRUE,TRUE,10,100
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,sturio,500.00,3.53,zoobenthos,hunting macrofauna (predator),TRUE,TRUE,TRUE,4,93
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,transmontanus,610.00,3.22,zooplankton,hunting macrofauna (predator),TRUE,TRUE,TRUE,1,122
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Acipenseriformes,Polyodontidae,Psephurus,gladius,300.00,4.15,nekton,hunting macrofauna (predator),TRUE,FALSE,FALSE,,
