id,Order,Family,Genus,Species,Leaves,Flowers,Seeds,Fruits,Arthro,Vert,Diet,Body_size_mm,,
Anf6013,Caudata,Cryptobranchidae,Andrias,Andrias japonicus,NA,1,NA,NA,1,1,Omnivore,1360,,
Anf4985,Anura,Ranidae,Pelophylax,Pelophylax nigromaculatus,1,NA,NA,NA,1,1,Omnivore,90.8,,
Anf6514,Caudata,Salamandridae,Lissotriton,Lissotriton boscai,1,NA,NA,NA,1,1,Omnivore,100,,
Anf0545,Anura,Bufonidae,Bufo,Bufo japonicus,1,NA,NA,NA,1,1,Omnivore,176,,
Anf4865,Anura,Ranidae,Lithobates,Lithobates catesbeianus,1,NA,NA,NA,1,1,Omnivore,203,,
Anf1673,Anura,Dicroglossidae,Hoplobatrachus,Hoplobatrachus tigerinus,1,NA,NA,NA,1,1,Omnivore,178,,
Anf3416,Anura,Leptodactylidae,Leptodactylus,Leptodactylus pentadactylus,1,NA,NA,NA,1,1,Omnivore,185,,
Anf3410,Anura,Leptodactylidae,Leptodactylus,Leptodactylus natalensis,NA,NA,NA,NA,1,1,Lower Carnivore,44,,
Anf3892,Anura,Microhylidae,Asterophrys,Asterophrys leucopus,NA,NA,NA,NA,1,1,Lower Carnivore,46.8,,
Anf1853,Anura,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus dimidiatus,NA,NA,NA,NA,1,1,Lower Carnivore,58,,
Anf1124,Anura,Ceratobatrachidae,Platymantis,Platymantis pelewensis,NA,NA,NA,NA,1,1,Lower Carnivore,60,,
Anf3465,Anura,Limnodynastidae,Limnodynastes,Limnodynastes convexiusculus,NA,NA,NA,NA,1,1,Lower Carnivore,61,,
Anf6450,Caudata,Plethodontidae,Speleomantes,Speleomantes strinatii,NA,NA,NA,NA,1,1,Lower Carnivore,63.5875,,
Anf4583,Anura,Pipidae,Xenopus,Xenopus victorianus,NA,NA,NA,NA,1,1,Lower Carnivore,67,,
Anf1320,Anura,Craugastoridae,Craugastor,Craugastor rugosus,NA,NA,NA,NA,1,1,Lower Carnivore,69,,
Anf0012,Anura,Alytidae,Discoglossus,Discoglossus sardus,NA,NA,NA,NA,1,1,Lower Carnivore,70,,
Anf4893,Anura,Ranidae,Lithobates,Lithobates septentrionalis,NA,NA,NA,NA,1,1,Lower Carnivore,76,,
Anf1723,Anura,Dicroglossidae,Limnonectes,Limnonectes shompenorum,NA,NA,NA,NA,1,1,Lower Carnivore,79,,
Anf0007,Anura,Alytidae,Discoglossus,Discoglossus galganoi,NA,NA,NA,NA,1,1,Lower Carnivore,80,,
Anf0011,Anura,Alytidae,Discoglossus,Discoglossus pictus,NA,NA,NA,NA,1,1,Lower Carnivore,80,,
Anf3436,Anura,Leptodactylidae,Leptodactylus,Leptodactylus syphax,NA,NA,NA,NA,1,1,Lower Carnivore,82,,
Anf5038,Anura,Ranidae,Rana,Rana sierrae,NA,NA,NA,NA,1,1,Lower Carnivore,85,,
Anf6516,Caudata,Salamandridae,Lissotriton,Lissotriton helveticus,NA,NA,NA,NA,1,1,Lower Carnivore,95,,
Anf4972,Anura,Ranidae,Pelophylax,Pelophylax bedriagae,NA,NA,NA,NA,1,1,Lower Carnivore,95.2,,
Anf1678,Anura,Dicroglossidae,Limnonectes,Limnonectes blythii,NA,NA,NA,NA,1,1,Lower Carnivore,96.8,,
Anf5032,Anura,Ranidae,Rana,Rana pretiosa,NA,NA,NA,NA,1,1,Lower Carnivore,100,,
Anf6522,Caudata,Salamandridae,Lissotriton,Lissotriton montandoni,NA,NA,NA,NA,1,1,Lower Carnivore,100,,
Anf4990,Anura,Ranidae,Pelophylax,Pelophylax saharicus,NA,NA,NA,NA,1,1,Lower Carnivore,104.5,,
Anf4989,Anura,Ranidae,Pelophylax,Pelophylax ridibundus,NA,NA,NA,NA,1,1,Lower Carnivore,105.6,,
Anf6523,Caudata,Salamandridae,Lissotriton,Lissotriton vulgaris,NA,NA,NA,NA,1,1,Lower Carnivore,110,,
Anf0809,Anura,Bufonidae,Rhinella,Rhinella arenarum,NA,NA,NA,NA,1,1,Lower Carnivore,115.5,,
Anf1715,Anura,Dicroglossidae,Limnonectes,Limnonectes namiyei,NA,NA,NA,NA,1,1,Lower Carnivore,117,,
Anf0368,Anura,Bufonidae,Amietophrynus,Amietophrynus gutturalis,NA,NA,NA,NA,1,1,Lower Carnivore,120,,
Anf0787,Anura,Bufonidae,Pseudepidalea,Pseudepidalea viridis,NA,NA,NA,NA,1,1,Lower Carnivore,120,,
Anf1157,Anura,Ceratophryidae,Ceratophrys,Ceratophrys cornuta,NA,NA,NA,NA,1,1,Lower Carnivore,120,,
Anf3393,Anura,Leptodactylidae,Leptodactylus,Leptodactylus latrans,NA,NA,NA,NA,1,1,Lower Carnivore,120,,
Anf6560,Caudata,Salamandridae,Triturus,Triturus pygmaeus,NA,NA,NA,NA,1,1,Lower Carnivore,120,,
Anf1165,Anura,Ceratophryidae,Lepidobatrachus,Lepidobatrachus laevis,NA,NA,NA,NA,1,1,Lower Carnivore,120.5,,
Anf3050,Anura,Hylodidae,Megaelosia,Megaelosia goeldii,NA,NA,NA,NA,1,1,Lower Carnivore,121,,
Anf1710,Anura,Dicroglossidae,Limnonectes,Limnonectes megastomias,NA,NA,NA,NA,1,1,Lower Carnivore,123.7,,709-77055476
Anf4902,Anura,Ranidae,Lithobates,Lithobates vaillanti,NA,NA,NA,NA,1,1,Lower Carnivore,125,,
Anf6445,Caudata,Plethodontidae,Speleomantes,Speleomantes ambrosii,NA,NA,NA,NA,1,1,Lower Carnivore,125,,7705476
Anf6447,Caudata,Plethodontidae,Speleomantes,Speleomantes imperialis,NA,NA,NA,NA,1,1,Lower Carnivore,125,,
Anf6448,Caudata,Plethodontidae,Speleomantes,Speleomantes italicus,NA,NA,NA,NA,1,1,Lower Carnivore,125,,
Anf6545,Caudata,Salamandridae,Paramesotriton,Paramesotriton zhijinensis,NA,NA,NA,NA,1,1,Lower Carnivore,127,,
Anf6361,Caudata,Plethodontidae,Aneides,Aneides vagrans,NA,NA,NA,NA,1,1,Lower Carnivore,130,,
Anf1691,Anura,Dicroglossidae,Limnonectes,Limnonectes ibanorum,NA,NA,NA,NA,1,1,Lower Carnivore,135,,
Anf6451,Caudata,Plethodontidae,Speleomantes,Speleomantes supramontis,NA,NA,NA,NA,1,1,Lower Carnivore,135,,
Anf4704,Anura,Pyxicephalidae,Pyxicephalus,Pyxicephalus edulis,NA,NA,NA,NA,1,1,Lower Carnivore,140,,
Anf2141,Anura,Hylidae,Bokermannohyla,Bokermannohyla alvarengai,NA,NA,NA,NA,1,1,Lower Carnivore,140.9,,
Anf6421,Caudata,Plethodontidae,Plethodon,Plethodon neomexicanus,NA,NA,NA,NA,1,1,Lower Carnivore,143,,
Anf6542,Caudata,Salamandridae,Paramesotriton,Paramesotriton hongkongensis,NA,NA,NA,NA,1,1,Lower Carnivore,143,,
Anf1704,Anura,Dicroglossidae,Limnonectes,Limnonectes macrocephalus,NA,NA,NA,NA,1,1,Lower Carnivore,144.6,,
Anf4650,Anura,Pyxicephalidae,Amietia,Amietia vertebralis,NA,NA,NA,NA,1,1,Lower Carnivore,145,,
Anf1180,Anura,Ceratophryidae,Telmatobius,Telmatobius culeus,NA,NA,NA,NA,1,1,Lower Carnivore,146,,
Anf1772,Anura,Dicroglossidae,Quasipaa,Quasipaa verrucospinosa,NA,NA,NA,NA,1,1,Lower Carnivore,146.5,,
Anf1692,Anura,Dicroglossidae,Limnonectes,Limnonectes ingeri,NA,NA,NA,NA,1,1,Lower Carnivore,150,,
Anf1705,Anura,Dicroglossidae,Limnonectes,Limnonectes macrodon,NA,NA,NA,NA,1,1,Lower Carnivore,150,,
Anf6446,Caudata,Plethodontidae,Speleomantes,Speleomantes flavus,NA,NA,NA,NA,1,1,Lower Carnivore,150,,
Anf6554,Caudata,Salamandridae,Triturus,Triturus carnifex,NA,NA,NA,NA,1,1,Lower Carnivore,150,,
Anf6555,Caudata,Salamandridae,Triturus,Triturus cristatus,NA,NA,NA,NA,1,1,Lower Carnivore,150,,
Anf3390,Anura,Leptodactylidae,Leptodactylus,Leptodactylus labyrinthicus,NA,NA,NA,NA,1,1,Lower Carnivore,158.5,,
Anf3759,Anura,Megophryidae,Megophrys,Megophrys nasuta,NA,NA,NA,NA,1,1,Lower Carnivore,160,,
Anf6556,Caudata,Salamandridae,Triturus,Triturus dobrogicus,NA,NA,NA,NA,1,1,Lower Carnivore,160,,
