"Order","Genus_species","lnMass_g","Recoded_Diet","FAD","LAD","FAD_interval","LAD_interval","sources"
"","Acinacodus tagaricus",2.226585091,"invertivore",125,113,"Early Cretaceous","Early Cretaceous","supp"
"","Acristatherium yanensis",2.44448001,"invertivore",125.45,122.46,"Early Cretaceous","Early Cretaceous","supp"
"","Adalatherium hui",8.03,"invertivore",72.1,66,"Late Cretaceous","Late Cretaceous","supp"
"","Alostera saskatchewanensis",4.0975,"invertivore",73.825,68,"Late Cretaceous","Late Cretaceous","lyons, lyons"
"","Alphadon perexiguus",3.097306714,"omnivore",83.5,70.6,"Late Cretaceous","Late Cretaceous","supp"
"","Alphadon sahnii",4.534212571,"omnivore",83.5,70.6,"Late Cretaceous","Late Cretaceous","supp"
"","Alphadon wilsoni",3.751045781,"omnivore",70.6,66,"Late Cretaceous","Late Cretaceous","supp"
"","Alticonus gazini",7.037,"herbivore",64.9,64.65,"Paleocene","Paleocene","lyons"
"","Alymlestes kielanae",4.359137102,"invertivore",83.5,70.6,"Late Cretaceous","Late Cretaceous","supp"
"","Ambolestes zhoui",3.65,"invertivore",125.45,122.46,"Early Cretaceous","Early Cretaceous","supp"
"","Ampliconus antoni",7.974,"herbivore",64.65,64.65,"Paleocene","Paleocene","lyons"
"","Anchistodelphys archibaldi",1.599,"omnivore",81.35,81.35,"Late Cretaceous","Late Cretaceous","lyons"
"","Anchistodelphys delicatus",1.988,"omnivore",91.5,91.5,"Late Cretaceous","Late Cretaceous","lyons"
"","Anisonchus athelas",6.42,"herbivore",63.6,62.9,"Paleocene","Paleocene","lyons"
"","Anisonchus oligistus",5.971,"herbivore",63.5,61.75,"Paleocene","Paleocene","lyons"
"","Anisonchus onostus",6.42,"herbivore",63,61.75,"Paleocene","Paleocene","lyons"
"","Anisonchus sectorius",7.392,"herbivore",61.8,59.9,"Paleocene","Paleocene","lyons"
"","Arcantiodelphys marchandi",2.54468458,"omnivore",99.6,93.5,"Late Cretaceous","Late Cretaceous","supp"
"","Archaeodesmana baetica",4.497135079,"invertivore",7.246,4.9,"Miocene","Pliocene","supp"
"","Archaeodesmana brailloni",4.230224018,"invertivore",5.333,2.588,"Pliocene","Pliocene","supp"
"","Arctostylops steini",5.618,"herbivore",57.7,56.1,"Paleocene","Paleocene","lyons"
"","Arguimus khosbajari",1.637694389,"invertivore",125,100.5,"Early Cretaceous","Early Cretaceous","supp"
"","Asioryctes nemegtensis",3.76,"invertivore",83.5,70.6,"Late Cretaceous","Late Cretaceous","supp"
"","Aspanlestes aptap",5.626445063,"invertivore",93.5,86.3,"Late Cretaceous","Late Cretaceous","supp"
"","Ausktribosphenos nyktos",3.04,"invertivore",122.46,112.03,"Early Cretaceous","Early Cretaceous","supp"
"","Avitotherium utahensis",3.493,"invertivore",83.3,72.75,"Late Cretaceous","Late Cretaceous","lyons"
"","Bharattherium bonapartei",4.863781725,"invertivore",72.1,66,"Late Cretaceous","Late Cretaceous","supp"
"","Bishops whitmorei",1.91,"invertivore",122.46,112.03,"Early Cretaceous","Early Cretaceous","supp"
"","Bobolestes zenge",1.57644843,"invertivore",99.6,93.5,"Late Cretaceous","Late Cretaceous","supp"
"","Borisodon kara",5.643968224,"invertivore",93.5,89.3,"Late Cretaceous","Late Cretaceous","supp"
"","Bryanictis microlestes",6.266,"carnivore",60.9,58.85,"Paleocene","Paleocene","lyons"
"","Bugtimeryx pilgrimi",9.977101208,"herbivore",18.45,18.45,"Miocene","Miocene","lyons"
"","Bulaklestes kezbe",2.921060464,"invertivore",93.5,89.3,"Late Cretaceous","Late Cretaceous","supp"
"","Chunnelodon alopekodes",-0.65673376,"invertivore",145,140.2,"Early Cretaceous","Early Cretaceous","supp"
"","Cifelliodon wahkarmoosuch",6.99,"invertivore",130,122.46,"Early Cretaceous","Early Cretaceous","supp"
"","Conacodon cophater",5.477,"herbivore",64.15,64,"Paleocene","Paleocene","lyons"
"","Conacodon delphae",8.105,"herbivore",64.75,63.7,"Paleocene","Paleocene","lyons"
"","Conacodon harbourae",7.156,"herbivore",64.4,64.4,"Paleocene","Paleocene","lyons"
"","Conacodon kohlbergeri",6.418,"herbivore",64.05,62.9,"Paleocene","Paleocene","lyons"
"","Conoryctella pattersoni",8.776,"omnivore",61.75,61.35,"Paleocene","Paleocene","lyons"
"","Conoryctes comma",9.726,"omnivore",61.2,61.2,"Paleocene","Paleocene","lyons"
"","Dakotadens morrowi",4.366,"omnivore",93.3,93.3,"Late Cretaceous","Late Cretaceous","lyons"
"","Dakotadens pertritus",3.876364295,"omnivore",105.3,93.5,"Early Cretaceous","Late Cretaceous","supp"
"","Daulestes inobservabilis",2.231661022,"invertivore",93.5,89.3,"Late Cretaceous","Late Cretaceous","supp"
"","Daulestes kulbeckensis",2.1170339,"invertivore",93.5,89.3,"Late Cretaceous","Late Cretaceous","supp"
"","Deccanolestes hislopi",0.721070602,"invertivore",72.1,66,"Late Cretaceous","Late Cretaceous","supp"
"","Deccanolestes narmadensis",1.585560669,"invertivore",72.1,66,"Late Cretaceous","Late Cretaceous","supp"
"","Deccanolestes robustus",2.413214532,"invertivore",72.1,66,"Late Cretaceous","Late Cretaceous","supp"
"","Desmana inflata",4.638637284,"invertivore",5.333,2.588,"Pliocene","Pliocene","supp"
"","Desmana kowalskae",4.816252364,"invertivore",4.2,3.2,"Pliocene","Pliocene","supp"
