taxon_no,Order,Family,taxon_name,ln_mass_g,mass_source,meas_element,length_mm,width_mm,meas_source,eq_type,mass_eq,eq_source,ln_mass_g_estimate,n_occs,firstapp_max_ma,firstapp_min_ma,lastapp_max_ma,lastapp_min_ma,early_interval,late_interval,life_habit,life_habit_basis,diet,diet_basis
212372,,,Chunnelodon alopekodes,,,m1,0.72,0.36,Ensom and Sigogneau-Russell 1998,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,-0.65673376,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
241959,,,Peramus dubius,,,m1,1.01,0.53,Davis 2012,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,0.668256651,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
81051,,,Uchkudukodon nessovi,,,m1,1.21,0.84,Archibald and Averianov 2006,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,1.839719759,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
206735,,,Peramus tenuirostris,,,m1,1.30,0.60,Davis 2012,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,1.356061097,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
81045,,,Daulestes kulbeckensis,,,m1,1.30,0.91,Archibald and Averianov 2006,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,2.1170339,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
177400,,,Arcantiodelphys marchandi,,,m1,1.30,1.15,Vullo et al 2009,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,2.54468458,1,99.6,93.5,99.6,93.5,Cenomanian,Turonian,,Metatheria,omnivore,Metatheria
197847,,,Acristatherium yanensis,,,m1,1.30,,Hu et al 2010,"Carnivores, m1_length",ln(m) = 1.681 + 2.97 * ln(m1_length),Van Valkenburgh 1990,2.44448001,1,125.45,122.46,125.45,122.46,Barremian,Aptian,scansorial,Eutheria,insectivore,Theria
81048,,,Daulestes inobservabilis,,,m1,1.34,0.94,Archibald and Averianov 2006,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,2.231661022,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
204159,,,Arguimus khosbajari,,,m1,1.40,0.65,Lopatin and Averianov 2006,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,1.637694389,1,125,100.5,125,100.5,Aptian,Albian,,Mammalia,insectivore,Mammaliaformes
216467,,,Sinbadelphys schmidti,,,m1,1.40,0.75,Cifelli 2004,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,1.89913963,7,113,100.5,100.5,89.8,Albian,Turonian,,Metatheria,omnivore,Metatheria
100743,,,Bishops whitmorei,1.91,Rich et al 2020,m1,1.40,1.20,Rich et al 2020,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,2.757836261,1,122.46,112.03,122.46,112.03,Aptian,Albian,,Mammalia,insectivore,Mammaliaformes
185139,,,Prokennalestes minor,,,m1,1.43,0.89,Lopatin and Averianov 2017,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,2.250563927,1,125,100.5,125,100.5,Aptian,Albian,scansorial,Eutheria,insectivore,Theria
48803,,,Montanalestes keeblerorum,,,m1,1.48,0.88,Cifelli and Davis 2015,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,2.292709325,1,113,100.5,113,100.5,Albian,,scansorial,Eutheria,insectivore,Theria
