species,body_mass_kg,trophic_guild,probability_extinction
Loxodonta africana,3940,herbivore,0.30
Elephas maximus,3220,herbivore,0.39
Ceratotherium simum,2286,herbivore,0.23
Rhinoceros sondaicus,1750,herbivore,0.69
Rhinoceros unicornis,1602,herbivore,0.34
Hippopotamus amphibius,1536,herbivore,0.33
Dicerorhinus sumatrensis,1260,herbivore,0.69
Diceros bicornis,996,herbivore,0.65
Giraffa camelopardalis,900,herbivore,0.37
Bos gaurus,800,herbivore,0.44
Bos javanicus,636,herbivore,0.58
Bison bonasus,625,herbivore,0.42
Bison bison,625,herbivore,0.28
Syncerus caffer,593,herbivore,0.28
Bos mutus,584,herbivore,0.43
Bubalus arnee,484,herbivore,0.59
Camelus ferus,475,herbivore,0.72
Equus grevyi,408,herbivore,0.56
Equus quagga,400,herbivore,0.29
Ursus maritimus,372,carnivore,0.36
Alces alces,357,herbivore,0.18
Ovibos moschatus,312,herbivore,0.19
Tapirus bairdii,300,herbivore,0.56
Tapirus indicus,296,herbivore,0.55
Budorcas taxicolor,295,herbivore,0.47
Equus zebra,287,herbivore,0.40
Equus kiang,275,herbivore,0.20
Tragelaphus eurycerus,271,herbivore,0.33
Hippotragus equinus,264,herbivore,0.20
Bubalus depressicornis,257,herbivore,0.62
Equus ferus,250,herbivore,0.62
Bubalus mindorensis,244,herbivore,0.79
Equus hemionus,235,herbivore,0.28
Okapia johnstoni,230,herbivore,0.52
Choeropsis liberiensis,228,herbivore,0.52
Hippotragus niger,227,herbivore,0.20
Tragelaphus buxtoni,215,herbivore,0.70
Tapirus terrestris,208,herbivore,0.39
Tragelaphus strepsiceros,206,herbivore,0.20
Kobus ellipsiprymnus,204,herbivore,0.19
Oryx beisa,201,herbivore,0.64
Hylochoerus meinertzhageni,198,herbivore,0.22
Ursus arctos,196,herbivore,0.15
Sus cebifrons,191,herbivore,0.88
Sus philippensis,191,herbivore,0.51
Connochaetes taurinus,181,herbivore,0.21
Boselaphus tragocamelus,180,herbivore,0.20
Rusa unicolor,178,herbivore,0.44
Rucervus duvaucelii,171,herbivore,0.45
Oryx gazella,169,herbivore,0.20
Bubalus quarlesi,166,herbivore,0.61
Cervus elaphus,165,herbivore,0.16
Panthera tigris,162,carnivore,0.58
Cervus albirostris,162,herbivore,0.41
Alcelaphus buselaphus,161,herbivore,0.21
Ovis ammon,160,herbivore,0.35
Panthera leo,159,carnivore,0.41
Connochaetes gnou,157,herbivore,0.21
Gorilla beringei,149,herbivore,0.57
Tapirus pinchaque,149,herbivore,0.56
Damaliscus lunatus,136,herbivore,0.21
Capra sibirica,130,herbivore,0.21
Gorilla gorilla,126,herbivore,0.58
Tremarctos ornatus,123,herbivore,0.38
Lama guanicoe,120,herbivore,0.18
Ailuropoda melanoleuca,118,herbivore,0.37
Capricornis sumatraensis,111,herbivore,0.48
Ursus americanus,111,herbivore,0.17
Sus barbatus,103,herbivore,0.49
Sus oliveri,103,herbivore,0.47
Sus ahoenobarbus,103,herbivore,0.35
Blastocerus dichotomus,103,herbivore,0.47
Rangifer tarandus,101,herbivore,0.47
Capra walie,100,herbivore,0.69
Melursus ursinus,100,insectivore,0.39
Ursus thibetanus,100,herbivore,0.38
Pseudoryx nghetinhensis,98,herbivore,0.82
Sus scrofa,96,herbivore,0.22
Rucervus eldii,95,herbivore,0.62
Capricornis milneedwardsii,95,herbivore,0.36
Capricornis thar,95,herbivore,0.35
Capricornis rubidus,95,herbivore,0.34
Addax nasomaculatus,94,herbivore,0.79
Babyrousa togeanensis,93,herbivore,0.69
Babyrousa celebensis,93,herbivore,0.49
Babyrousa babyrussa,93,herbivore,0.45
Ammotragus lervia,93,herbivore,0.47
Kobus leche,92,herbivore,0.33
Ovis nivicola,90,herbivore,0.22
Oryx leucoryx,88,herbivore,0.46
Tragelaphus angasii,88,herbivore,0.22
Kobus megaceros,88,herbivore,0.65
Damaliscus pygargus,85,herbivore,0.20
Panthera onca,84,carnivore,0.30
Sus verrucosus,83,herbivore,0.71
Tragelaphus imberbis,83,herbivore,0.34
Phacochoerus africanus,83,herbivore,0.23
Kobus kob,80,herbivore,0.22
Beatragus hunteri,79,herbivore,0.86
Tragelaphus spekii,78,herbivore,0.21
Capra ibex,77,herbivore,0.20
Nilgiritragus hylocrius,75,herbivore,0.66
Ovis canadensis,75,herbivore,0.22
Phacochoerus aethiopicus,73,herbivore,0.22
Oreamnos americanus,73,herbivore,0.20
Kobus vardonii,72,herbivore,0.36
Nanger dama,71,herbivore,0.87
Ovis dalli,70,herbivore,0.22
Potamochoerus porcus,70,herbivore,0.20
Hippocamelus bisulcus,70,herbivore,0.65
Cephalophus jentinki,69,herbivore,0.67
Potamochoerus larvatus,69,herbivore,0.23
Hippocamelus antisensis,69,herbivore,0.53
Axis axis,67,herbivore,0.21
Rusa timorensis,66,herbivore,0.47
Odocoileus virginianus,65,herbivore,0.22
Crocuta crocuta,63,carnivore,0.16
Capra nubiana,63,herbivore,0.48
Cephalophus silvicultor,62,herbivore,0.36
Capra pyrenaica,61,herbivore,0.22
Capra aegagrus,61,herbivore,0.51
Capra caucasica,58,herbivore,0.62
Redunca arundinum,58,herbivore,0.22
Dama mesopotamica,57,herbivore,0.64
Dama dama,57,herbivore,0.19
Odocoileus hemionus,57,herbivore,0.21
Cephalophus spadix,57,herbivore,0.75
Orycteropus afer,56,insectivore,0.19
Nanger granti,55,herbivore,0.23
Sus celebensis,55,herbivore,0.35
Capra cylindricornis,55,herbivore,0.33
Axis kuhlii,55,herbivore,0.88
Pongo pygmaeus,53,herbivore,0.58
Cervus nippon,53,herbivore,0.20
Aepyceros melampus,53,herbivore,0.21
Panthera pardus,52,carnivore,0.44
Pseudois nayaur,52,herbivore,0.21
Puma concolor,52,carnivore,0.21
Acinonyx jubatus,51,carnivore,0.45
Ovis orientalis,50,herbivore,0.48
Rusa marianna,49,herbivore,0.49
Hydrochoerus hydrochaeris,48,herbivore,0.24
Vicugna vicugna,47,herbivore,0.19
Helarctos malayanus,46,omnivore,0.38
Rusa alfredi,46,herbivore,0.64
Antilocapra americana,46,herbivore,0.24
Priodontes maximus,45,insectivore,0.50
Pan troglodytes,45,herbivore,0.40
Panthera uncia,44,carnivore,0.46
Redunca redunca,43,herbivore,0.22
Tragelaphus scriptus,43,herbivore,0.24
Capricornis swinhoei,43,herbivore,0.21
Capricornis crispus,43,herbivore,0.20
Parahyaena brunnea,43,carnivore,0.30
Nanger soemmerringii,42,herbivore,0.49
Capreolus pygargus,41,herbivore,0.20
Capra falconeri,41,herbivore,0.36
Axis calamianensis,40,herbivore,0.65
Pongo abelii,40,herbivore,0.59
Macropus rufus,39,herbivore,0.20
Litocranius walleri,39,herbivore,0.37
Saiga tatarica,38,herbivore,0.90
Antilope cervicapra,38,herbivore,0.21
Axis porcinus,37,herbivore,0.64
Muntiacus vuquangensis,37,herbivore,0.85
Catagonus wagneri,36,herbivore,0.75
Hemitragus jemlahicus,35,herbivore,0.33
Pan paniscus,35,herbivore,0.42
Hyaena hyaena,35,carnivore,0.31
Ozotoceros bezoarticus,35,herbivore,0.32
Antidorcas marsupialis,34,herbivore,0.22
Elaphodus cephalophus,34,herbivore,0.33
Macropus giganteus,33,herbivore,0.20
Rupicapra rupicapra,33,herbivore,0.20
Smutsia gigantea,33,insectivore,0.63
Tayassu pecari,32,herbivore,0.45
Canis lupus,32,carnivore,0.20
Pantholops hodgsonii,30,herbivore,0.34
Rupicapra pyrenaica,30,herbivore,0.22
Myrmecophaga tridactyla,30,insectivore,0.40
Redunca fulvorufula,29,herbivore,0.70
Canis rufus,29,carnivore,0.87
Naemorhedus baileyi,29,herbivore,0.48
Naemorhedus goral,29,herbivore,0.36
Lasiorhinus krefftii,29,herbivore,0.79
Gazella subgutturosa,29,herbivore,0.47
Procapra gutturosa,28,herbivore,0.24
Ammodorcas clarkei,28,herbivore,0.54
Naemorhedus griseus,28,herbivore,0.49
Procapra przewalskii,27,herbivore,0.65
Macropus antilopinus,27,herbivore,0.22
Naemorhedus caudatus,27,herbivore,0.50
Eudorcas rufifrons,27,herbivore,0.52
