"","herbivore","omnivore","invertivore","carnivore"
"Boreal Forests/Taiga - Deserts & Xeric Shrublands",1,1,1,1
"Boreal Forests/Taiga - Flooded Grasslands & Savannas",1,1,0.163937846402416,1
"Boreal Forests/Taiga - Mangroves",1,1,0.590047381038661,1
"Boreal Forests/Taiga - Mediterranean Forests, Woodlands & Scrub",1,1,0.571685634218141,1
"Boreal Forests/Taiga - Montane Grasslands & Shrublands",1,1,0.0211415059627594,1
"Boreal Forests/Taiga - Temperate Broadleaf & Mixed Forests",1,1,1,1
"Boreal Forests/Taiga - Temperate Conifer Forests",1,1,1,1
"Boreal Forests/Taiga - Temperate Grasslands, Savannas & Shrublands",1,1,1,1
"Boreal Forests/Taiga - Tropical & Subtropical Coniferous Forests",1,1,1,1
"Boreal Forests/Taiga - Tropical & Subtropical Dry Broadleaf Forests",1,1,0.911644253692831,1
"Boreal Forests/Taiga - Tropical & Subtropical Grasslands, Savannas & Shrublands",1,1,0.0169386020272257,1
"Boreal Forests/Taiga - Tropical & Subtropical Moist Broadleaf Forests",1,1,0.0143921048274939,1
"Boreal Forests/Taiga - Tundra",1,1,1,1
"Deserts & Xeric Shrublands - Flooded Grasslands & Savannas",1,1,1,1
"Deserts & Xeric Shrublands - Mangroves",0.00994897397353579,1,1,1
"Deserts & Xeric Shrublands - Mediterranean Forests, Woodlands & Scrub",1,1,1,1
"Deserts & Xeric Shrublands - Montane Grasslands & Shrublands",0.259913213186541,1,0.0218064898897686,1
"Deserts & Xeric Shrublands - Temperate Broadleaf & Mixed Forests",1,1,1,1
"Deserts & Xeric Shrublands - Temperate Conifer Forests",1,1,1,1
"Deserts & Xeric Shrublands - Temperate Grasslands, Savannas & Shrublands",1,1,1,1
"Deserts & Xeric Shrublands - Tropical & Subtropical Coniferous Forests",1,0.42598748881381,1,1
"Deserts & Xeric Shrublands - Tropical & Subtropical Dry Broadleaf Forests",1,0.419953315514505,1,1
"Deserts & Xeric Shrublands - Tropical & Subtropical Grasslands, Savannas & Shrublands",0.00129295530640589,1,0.0116335633086267,1
"Deserts & Xeric Shrublands - Tropical & Subtropical Moist Broadleaf Forests",2.36860411791697e-08,1,0.00226053969996613,1
"Deserts & Xeric Shrublands - Tundra",1,1,0.131034507694788,1
"Flooded Grasslands & Savannas - Mangroves",1,1,1,1
"Flooded Grasslands & Savannas - Mediterranean Forests, Woodlands & Scrub",1,1,1,1
"Flooded Grasslands & Savannas - Montane Grasslands & Shrublands",1,1,1,1
"Flooded Grasslands & Savannas - Temperate Broadleaf & Mixed Forests",1,1,1,1
"Flooded Grasslands & Savannas - Temperate Conifer Forests",1,1,0.057587269167544,1
"Flooded Grasslands & Savannas - Temperate Grasslands, Savannas & Shrublands",1,1,1,1
"Flooded Grasslands & Savannas - Tropical & Subtropical Coniferous Forests",1,1,0.0545787603760965,1
"Flooded Grasslands & Savannas - Tropical & Subtropical Dry Broadleaf Forests",1,1,1,1
"Flooded Grasslands & Savannas - Tropical & Subtropical Grasslands, Savannas & Shrublands",1,1,1,1
