"","herbivore","omnivore","invertivore","carnivore"
"Boreal Forests/Taiga - Deserts & Xeric Shrublands",1,1,1,1
"Boreal Forests/Taiga - Flooded Grasslands & Savannas",1,1,1,1
"Boreal Forests/Taiga - Mangroves",1,1,1,1
"Boreal Forests/Taiga - Mediterranean Forests, Woodlands & Scrub",1,1,1,1
"Boreal Forests/Taiga - Montane Grasslands & Shrublands",1,1,1,1
"Boreal Forests/Taiga - Temperate Broadleaf & Mixed Forests",1,1,1,1
"Boreal Forests/Taiga - Temperate Conifer Forests",1,1,1,1
"Boreal Forests/Taiga - Temperate Grasslands, Savannas & Shrublands",1,1,1,1
"Boreal Forests/Taiga - Tropical & Subtropical Coniferous Forests",1,1,1,1
"Boreal Forests/Taiga - Tropical & Subtropical Dry Broadleaf Forests",1,1,1,1
"Boreal Forests/Taiga - Tropical & Subtropical Grasslands, Savannas & Shrublands",1,1,1,1
"Boreal Forests/Taiga - Tropical & Subtropical Moist Broadleaf Forests",0.534,1,1,1
"Boreal Forests/Taiga - Tundra",1,1,1,1
"Deserts & Xeric Shrublands - Flooded Grasslands & Savannas",1,1,1,1
"Deserts & Xeric Shrublands - Mangroves",1,1,1,1
"Deserts & Xeric Shrublands - Mediterranean Forests, Woodlands & Scrub",1,1,1,1
"Deserts & Xeric Shrublands - Montane Grasslands & Shrublands",1,1,1,1
"Deserts & Xeric Shrublands - Temperate Broadleaf & Mixed Forests",1,1,1,1
"Deserts & Xeric Shrublands - Temperate Conifer Forests",1,1,1,1
"Deserts & Xeric Shrublands - Temperate Grasslands, Savannas & Shrublands",1,1,1,1
"Deserts & Xeric Shrublands - Tropical & Subtropical Coniferous Forests",1,1,1,1
"Deserts & Xeric Shrublands - Tropical & Subtropical Dry Broadleaf Forests",1,1,1,1
"Deserts & Xeric Shrublands - Tropical & Subtropical Grasslands, Savannas & Shrublands",1,1,1,1
"Deserts & Xeric Shrublands - Tropical & Subtropical Moist Broadleaf Forests",1,1,1,1
"Deserts & Xeric Shrublands - Tundra",1,1,1,1
"Flooded Grasslands & Savannas - Mangroves",0.14842,1,1,1
"Flooded Grasslands & Savannas - Mediterranean Forests, Woodlands & Scrub",1,1,1,1
"Flooded Grasslands & Savannas - Montane Grasslands & Shrublands",1,1,1,1
"Flooded Grasslands & Savannas - Temperate Broadleaf & Mixed Forests",1,1,1,1
"Flooded Grasslands & Savannas - Temperate Conifer Forests",1,1,0.78013,1
"Flooded Grasslands & Savannas - Temperate Grasslands, Savannas & Shrublands",1,1,1,1
"Flooded Grasslands & Savannas - Tropical & Subtropical Coniferous Forests",1,1,1,1
"Flooded Grasslands & Savannas - Tropical & Subtropical Dry Broadleaf Forests",0.04719,1,1,1
"Flooded Grasslands & Savannas - Tropical & Subtropical Grasslands, Savannas & Shrublands",1,1,1,1
"Flooded Grasslands & Savannas - Tropical & Subtropical Moist Broadleaf Forests",0,1,1,1
"Flooded Grasslands & Savannas - Tundra",1,1,1,1
"Mangroves - Mediterranean Forests, Woodlands & Scrub",1,1,1,1
"Mangroves - Montane Grasslands & Shrublands",1,1,1,1
"Mangroves - Temperate Broadleaf & Mixed Forests",1,1,1,1
"Mangroves - Temperate Conifer Forests",1,1,0.2664,1
"Mangroves - Temperate Grasslands, Savannas & Shrublands",1,1,1,1
"Mangroves - Tropical & Subtropical Coniferous Forests",1,1,0.44982,1
"Mangroves - Tropical & Subtropical Dry Broadleaf Forests",1,1,1,1
"Mangroves - Tropical & Subtropical Grasslands, Savannas & Shrublands",1,1,1,1
"Mangroves - Tropical & Subtropical Moist Broadleaf Forests",1,1,1,1
"Mangroves - Tundra",0.7611,1,1,1
"Mediterranean Forests, Woodlands & Scrub - Montane Grasslands & Shrublands",1,1,1,1
"Mediterranean Forests, Woodlands & Scrub - Temperate Broadleaf & Mixed Forests",1,1,1,1
"Mediterranean Forests, Woodlands & Scrub - Temperate Conifer Forests",1,1,1,1
"Mediterranean Forests, Woodlands & Scrub - Temperate Grasslands, Savannas & Shrublands",1,1,1,1
"Mediterranean Forests, Woodlands & Scrub - Tropical & Subtropical Coniferous Forests",1,1,1,1
"Mediterranean Forests, Woodlands & Scrub - Tropical & Subtropical Dry Broadleaf Forests",0.59995,1,1,1
"Mediterranean Forests, Woodlands & Scrub - Tropical & Subtropical Grasslands, Savannas & Shrublands",1,1,1,1
"Mediterranean Forests, Woodlands & Scrub - Tropical & Subtropical Moist Broadleaf Forests",0.19855,1,1,1
"Mediterranean Forests, Woodlands & Scrub - Tundra",1,1,1,1
"Montane Grasslands & Shrublands - Temperate Broadleaf & Mixed Forests",1,1,1,1
"Montane Grasslands & Shrublands - Temperate Conifer Forests",1,1,1,1
"Montane Grasslands & Shrublands - Temperate Grasslands, Savannas & Shrublands",1,1,1,1
"Montane Grasslands & Shrublands - Tropical & Subtropical Coniferous Forests",1,1,1,1
"Montane Grasslands & Shrublands - Tropical & Subtropical Dry Broadleaf Forests",1,1,1,1
"Montane Grasslands & Shrublands - Tropical & Subtropical Grasslands, Savannas & Shrublands",1,1,1,1
"Montane Grasslands & Shrublands - Tropical & Subtropical Moist Broadleaf Forests",1,1,1,1
"Montane Grasslands & Shrublands - Tundra",1,1,1,1
"Temperate Broadleaf & Mixed Forests - Temperate Conifer Forests",1,1,1,1
"Temperate Broadleaf & Mixed Forests - Temperate Grasslands, Savannas & Shrublands",1,1,1,1
"Temperate Broadleaf & Mixed Forests - Tropical & Subtropical Coniferous Forests",1,1,1,1
"Temperate Broadleaf & Mixed Forests - Tropical & Subtropical Dry Broadleaf Forests",1,1,1,1
"Temperate Broadleaf & Mixed Forests - Tropical & Subtropical Grasslands, Savannas & Shrublands",1,1,1,1
"Temperate Broadleaf & Mixed Forests - Tropical & Subtropical Moist Broadleaf Forests",0.26925,1,1,1
"Temperate Broadleaf & Mixed Forests - Tundra",1,1,1,1
"Temperate Conifer Forests - Temperate Grasslands, Savannas & Shrublands",1,1,1,1
"Temperate Conifer Forests - Tropical & Subtropical Coniferous Forests",1,1,1,1
"Temperate Conifer Forests - Tropical & Subtropical Dry Broadleaf Forests",1,1,1,1
"Temperate Conifer Forests - Tropical & Subtropical Grasslands, Savannas & Shrublands",1,1,1,1
"Temperate Conifer Forests - Tropical & Subtropical Moist Broadleaf Forests",1,1,1,1
"Temperate Conifer Forests - Tundra",1,1,1,1
"Temperate Grasslands, Savannas & Shrublands - Tropical & Subtropical Coniferous Forests",1,1,1,1
"Temperate Grasslands, Savannas & Shrublands - Tropical & Subtropical Dry Broadleaf Forests",1,1,1,1
"Temperate Grasslands, Savannas & Shrublands - Tropical & Subtropical Grasslands, Savannas & Shrublands",1,1,1,1
"Temperate Grasslands, Savannas & Shrublands - Tropical & Subtropical Moist Broadleaf Forests",1,1,1,1
"Temperate Grasslands, Savannas & Shrublands - Tundra",1,1,1,1
"Tropical & Subtropical Coniferous Forests - Tropical & Subtropical Dry Broadleaf Forests",1,1,1,1
"Tropical & Subtropical Coniferous Forests - Tropical & Subtropical Grasslands, Savannas & Shrublands",1,1,1,1
"Tropical & Subtropical Coniferous Forests - Tropical & Subtropical Moist Broadleaf Forests",1,1,1,1
"Tropical & Subtropical Coniferous Forests - Tundra",1,1,1,1
"Tropical & Subtropical Dry Broadleaf Forests - Tropical & Subtropical Grasslands, Savannas & Shrublands",1,1,1,1
"Tropical & Subtropical Dry Broadleaf Forests - Tropical & Subtropical Moist Broadleaf Forests",1,1,1,1
"Tropical & Subtropical Dry Broadleaf Forests - Tundra",1,1,1,1
"Tropical & Subtropical Grasslands, Savannas & Shrublands - Tropical & Subtropical Moist Broadleaf Forests",1,1,1,1
"Tropical & Subtropical Grasslands, Savannas & Shrublands - Tundra",1,1,1,1
"Tropical & Subtropical Moist Broadleaf Forests - Tundra",0.31504,1,1,1
"# Significant",2,0,0,0
